Segmento;CNPJ;Nome
S1;0;BANCO DO BRASIL
S1;60746948;BRADESCO
S1;30306294;BTG PACTUAL
S1;360305;CAIXA ECONOMICA FEDERAL
S1;60872504;ITAU
S1;90400888;SANTANDER
S2;92702067;BANRISUL
S2;7237373;BANCO DO NORDESTE DO BRASIL
S2;33657248;BNDES
S2;33479023;CITIBANK
S2;33987793;CREDIT SUISSE
S2;58160789;SAFRA
S2;59588111;VOTORANTIM
S3;28195667;ABC-BRASIL
S3;60770336;ALFA
S3;655522;APE POUPEX
S3;2992446;BANCO CNH INDUSTRIAL CAPITAL
S3;2038232;BANCOOB
S3;28127603;BANESTES
S3;31597552;BANCO CLASSICO
S3;8357240;BANCO CSF
S3;4902979;BANCO DA AMAZONIA
S3;62232889;BANCO DAYCOVAL
S3;38486817;BANCO DES. DE MG
S3;58616418;BANCO FIBRA
S3;1023570;BANCO RABOBANK INTL BRASIL
S3;60518222;BANCO SUMITOMO MITSUI BRASIL
S3;60498557;BANCO TOKYO-MITSUBISHI
S3;92816560;BD REGIONAL DO EXTREMO SUL
S3;61186680;BMG
S3;1522368;BNP PARIBAS
S3;62073200;BOFA MERRILL LYNCH
S3;208;BRB
S3;7450604;CCB
S3;87437687;COOPERATIVA CENTRAL DE CREDITO DO RIO GRANDE DO SUL E SANTA CATARINACENTRAL SICREDI SUL
S3;80230774;COOPERATIVA CENTRAL DE CREDITO E INVESTIMENTO DOS ESTADOS DO PARANA, SAO PAULO E RIO DE JANEIROCENTRAL SICREDI PR/SP/RJ
S3;75647891;CREDIT AGRICOLE
S3;62331228;DEUTSCHE
S3;59274605;GMAC
S3;4332281;GOLDMAN SACHS
S3;34111187;HAITONG
S3;49336860;ING
S3;33172537;JP MORGANASE
S3;17184037;MERCANTIL DO BRASIL
S3;60814191;MERCEDES-BENZ
S3;2801938;MORGAN STANLEY
S3;92894922;ORIGINAL
S3;59285411;PAN
S3;62144175;PINE
S3;1181521;SICREDI
S3;61533584;SOCIETE GENERALE
S3;59109165;VOLKSWAGEN
S4;33824012;ADVALOR
S4;92856905;ADVANCEDLTDA
S4;10663610;AF DESENVOLVE SP
S4;82937293;AF DO ESTADO DE SC
S4;13178690;AF ESTADO DE PERNAMBUCO
S4;3584906;AF PARAN�
S4;10769660;AFAL
S4;3183937;AFEAM
S4;2929977;AG. FOMENTO AMAPA
S4;3058464;AG. FOMENTO ESTADO DE RORAIMA
S4;5474540;AG. FOMENTO ESTADO DO TOCANTINS
S4;3848103;AGENCIA DE FOMENTO DO RN
S4;6284531;AG�NCIA DE FOMENTO MATO GROSSO
S4;5940203;AGENCIA FOMENTO EST RJ
S4;3918382;AGENCIA FOMENTO GOIAS
S4;10664513;AGIPLAN FINANCEIRACFI
S4;250699;AGKS.A.
S4;36321990;AGORACRED
S4;2678955;AKRO
S4;5452073;ALBATROSS CCV
S4;3882245;ALPES
S4;17312661;AMARIL FRANKLIN CTV
S4;16927221;AMAZ�NIALTDA.
S4;48795256;ANDBANK
S4;12719654;APEAL CREDITO IMOBILIARIO
S4;4684647;ARC CORRETORA CAMBIO
S4;14425205;�TICO.
S4;33775974;ATIVA INVESTIMENTOS
S4;5956581;ATRIACFI
S4;3443143;AVIPAMLTDA.
S4;23862762;AVISTA CFI
S4;25280945;AVSLTDA.
S4;73622748;B & T ASSOCIADOSLTDA.
S4;2885855;BADESUL DESENVOLVIMENTO AF/RS
S4;61688131;BALUARTE SA CC
S4;997185;BANCO&FBOVESPA
S4;62237425;BANCO FIDIS
S4;34270520;BANCO IBM
S4;23903068;BANCO KOMATSU DO BRASIL
S4;7441209;BANCO MONEO
S4;40429946;BANCO PORTO REAL DE INVEST.S.A
S4;517645;BANCO RIBEIR�O PRETO
S4;795423;BANCO SEMEAR
S4;7679404;BANCO TOP�ZIO
S4;9526594;BANCO VIPAL
S4;33884941;BANIF
S4;61146577;BARCLAYS
S4;556603;BARIGUI
S4;15114366;BBM
S4;45283173;BBVA BRASIL BI
S4;92874270;BANCO A.J. RENNER
S4;3532415;BANCO ABN AMRO
S4;54403563;BANCO ARBI
S4;15173776;BANCO CAPITAL
S4;3609817;BANCO CARGILL
S4;2658435;BANCO CATERPILLAR
S4;33132044;BANCO CEDULA
S4;10690848;BANCO DAINA BRASIL
S4;5040481;BANCO DE LAGE LANDEN BRASIL
S4;28145829;BANCO DES. DO ES
S4;13009717;BANCO DO EST. DE SE
