Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Unnamed: 14;Instituiï¿½ï¿½o financeira;ï¿½ndice;Quantidade de reclamaï¿½ï¿½es reguladas procedentes;Quantidade de reclamaï¿½ï¿½es reguladas - outras;Quantidade de reclamaï¿½ï¿½es nï¿½o reguladas;Quantidade total de reclamaï¿½ï¿½es;Quantidade total de clientes ï¿½ CCS e SCR;Quantidade de clientes ï¿½ CCS;Quantidade de clientes ï¿½ SCR
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;4.0;7.0;3.0;14.0;50720;47485;6932;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABN AMRO (conglomerado); ;0.0;0.0;1.0;1.0;0;0; ;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13140088;ACESSO SOLUÇÕES DE PAGAMENTO S.A.;14,70;75.0;128.0;9.0;212.0;5098671;5098661;19396;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);96,00;182.0;262.0;95.0;539.0;1895683;1540134;1176067;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;4.0;4.0;2.0;10.0;534795;133;534662;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;10.0;3.0;2.0;15.0;30959;19706;16841;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ALFA (conglomerado); ;23.0;48.0;9.0;80.0;436746;267423;170417;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;32778350;AME DIGITAL BRASIL INSTITUICAO DE PAGAMENTO LTDA; ;6.0;31.0;90.0;127.0;0;0;0;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;0.0;2.0;2.0;4.0;4302;4302;29;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;19540550;ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.; ;8.0;42.0;5.0;55.0;404447;404447; ;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.; ;14.0;8.0;0.0;22.0;84526;75882;10846;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00997185;BANCO B3 S.A.; ;0.0;1.0;1.0;2.0;896;896; ;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02658435;BANCO CATERPILLAR S.A.; ;1.0;0.0;0.0;1.0;3325; ;3325;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33132044;BANCO CEDULA S.A.; ;0.0;1.0;1.0;2.0;18010;2805;15425;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0.0;2.0;2.0;4.0;28887;1290;27778;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;08357240;BANCO CSF S.A.;9,98;77.0;72.0;43.0;192.0;7707988; ;7707988;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;6.0;7.0;10.0;23.0;507169;507169; ;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33042151;BANCO DE LA NACION ARGENTINA; ;0.0;2.0;0.0;2.0;267;255;22;;;;;;;;;;
2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0.0;0.0;1.0;1.0;35292;4;35289;;;;;;;;;;
